Position,Gender,Grade,Weekday,Usage
Student,Female,Freshman,Saturday,Gym
Student,Male,Sophomore,Saturday,Gym
Student,Male,Sophomore,Saturday,Gym
Student,Male,Sophomore,Saturday,Gym
Student,Male,Senior,Saturday,Gym
Student,Male,Senior,Saturday,Gym
Student,Male,Junior,Saturday,Gym
Student,Male,Senior,Saturday,Gym
Student,Male,Senior,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Sophomore,Saturday,Gym
Student,Female,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Arcade
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Arcade
Student,Male,Senior,Saturday,Gym
Student,Female,Freshman,Saturday,Gym
Student,Unspecified,NA,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Arcade
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Arcade
Student,Male,Freshman,Saturday,Gym
Student,Male,Sophomore,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Sophomore,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Sophomore,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Female,Freshman,Saturday,Gym
Student,Male,Freshman,Saturday,Gym
Student,Male,Senior,Saturday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Sophomore,Sunday,Gym
Student,Female,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Sophomore,Sunday,Gym
Student,Male,Sophomore,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Senior,Sunday,Gym
Student,Male,Freshman,Sunday,Arcade
Student,Male,Freshman,Sunday,Arcade
Student,Male,Senior,Sunday,Gym
Student,Male,Junior,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Sophomore,Sunday,Gym
Student,Male,Sophomore,Sunday,Gym
Student,Male,Sophomore,Sunday,Arcade
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Senior,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Sunday,Arcade
Student,Male,Freshman,Sunday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Female,Senior,Monday,Intramurals
Student,Male,Freshman,Monday,Arcade
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Senior,Monday,Gym
Faculty,Unspecified,NA,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Female,Junior,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Female,Sophomore,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Staff,Unspecified,NA,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Arcade
Student,Male,Freshman,Monday,Arcade
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Graduate,Monday,Gym
Student,Male,Freshman,Monday,Pool
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Senior,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Arcade
Student,Male,Senior,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Senior,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Graduate,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Senior,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Senior,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Senior,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Female,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Female,Junior,Monday,Gym
Student,Female,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Sophomore,Monday,Arcade
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Senior,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Freshman,Monday,Gym
Student,Male,Junior,Monday,Gym
Student,Male,Sophomore,Monday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Female,Junior,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Senior,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Junior,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Female,Senior,Tuesday,Gym
Student,Male,Senior,Tuesday,Gym
Student,Male,Junior,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Female,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Female,Freshman,Tuesday,Gym
Student,Male,Graduate,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Arcade
Student,Male,Freshman,Tuesday,Arcade
Student,Female,Junior,Tuesday,Gym
Student,Female,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Arcade
Student,Male,Freshman,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Senior,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Junior,Tuesday,Gym
Student,Male,Junior,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Staff,Unspecified,NA,Tuesday,Gym
Student,Female,Senior,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Senior,Tuesday,Gym
Faculty,Unspecified,NA,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Female,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Senior,Tuesday,Gym
Student,Female,Sophomore,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Senior,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Junior,Tuesday,Gym
Student,Male,Sophomore,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Junior,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Female,Freshman,Tuesday,Gym
Student,Male,Junior,Tuesday,Gym
Student,Male,Senior,Tuesday,Gym
Student,Male,Junior,Tuesday,Gym
Student,Male,Junior,Tuesday,Gym
Student,Male,Freshman,Tuesday,Pool
Student,Male,Freshman,Tuesday,Gym
Student,Male,Freshman,Tuesday,Gym
Student,Female,Freshman,Tuesday,Gym
Student,Female,Junior,Tuesday,Pool
Student,Male,Freshman,Tuesday,Gym
