houseid,homeown,hhvehcnt,hhsize,drvrcnt,wrkcount,numadlt,trpmiles,hhincttl,hhldtrips
10007044,1,3.0000,2.0000,2.0000,0.0000,2.0000,370.00,9,12
10011108,2,1.0000,2.0000,2.0000,2.0000,2.0000,96.00,12,10
10026090,1,1.0000,1.0000,1.0000,1.0000,1.0000,64.00,7,7
10052473,1,1.0000,1.0000,1.0000,1.0000,1.0000,27.00,18,3
10074877,1,1.0000,2.0000,1.0000,0.0000,2.0000,22.00,6,4
10102060,2,1.0000,1.0000,1.0000,1.0000,1.0000,2.00,8,2
10115659,1,2.0000,2.0000,2.0000,0.0000,2.0000,144.00,16,5
10130719,1,2.0000,2.0000,2.0000,1.0000,2.0000,41.72,14,10
10144462,1,1.0000,1.0000,1.0000,1.0000,1.0000,60.00,10,7
10159411,1,2.0000,3.0000,2.0000,2.0000,2.0000,62.33,18,13
10173752,1,2.0000,3.0000,2.0000,1.0000,2.0000,1258.50,11,22
10181542,1,2.0000,4.0000,2.0000,2.0000,2.0000,16.00,18,7
10200564,1,2.0000,1.0000,1.0000,0.0000,1.0000,300.00,17,2
10262973,2,1.0000,5.0000,2.0000,1.0000,2.0000,19.50,4,12
10267763,1,2.0000,2.0000,1.0000,1.0000,1.0000,14.00,7,2
10339464,2,2.0000,5.0000,2.0000,2.0000,2.0000,-8.00,-7,1
10350898,1,2.0000,5.0000,3.0000,2.0000,2.0000,95.50,15,21
10364578,1,3.0000,3.0000,3.0000,2.0000,3.0000,84.00,18,7
10367029,1,2.0000,2.0000,2.0000,2.0000,2.0000,203.00,10,20
10367832,1,2.0000,2.0000,2.0000,2.0000,2.0000,73.50,13,10
10484225,1,3.0000,5.0000,3.0000,2.0000,3.0000,41.00,7,16
10486621,2,1.0000,4.0000,2.0000,2.0000,2.0000,12.00,7,8
10497757,1,3.0000,3.0000,2.0000,2.0000,2.0000,118.00,17,4
10504945,1,3.0000,3.0000,3.0000,3.0000,3.0000,169.00,12,18
10511895,1,1.0000,3.0000,1.0000,1.0000,2.0000,56.00,4,11
10514300,1,2.0000,3.0000,2.0000,1.0000,2.0000,64.00,17,11
10549843,1,2.0000,2.0000,2.0000,1.0000,2.0000,42.67,8,7
10550661,1,2.0000,2.0000,2.0000,0.0000,2.0000,85.50,-8,20
10554089,1,1.0000,2.0000,2.0000,0.0000,2.0000,106.00,4,6
10561537,1,2.0000,2.0000,2.0000,1.0000,2.0000,22.72,13,15
10564051,1,2.0000,3.0000,3.0000,2.0000,3.0000,75.72,17,19
10574292,1,2.0000,2.0000,2.0000,0.0000,2.0000,32.00,4,8
10578487,1,2.0000,2.0000,2.0000,2.0000,2.0000,409.00,17,2
10578674,1,3.0000,2.0000,2.0000,1.0000,2.0000,31.22,10,11
10585766,1,2.0000,3.0000,2.0000,1.0000,2.0000,35.00,3,6
10586660,1,2.0000,4.0000,2.0000,2.0000,2.0000,102.50,18,25
10587863,1,3.0000,5.0000,3.0000,2.0000,3.0000,155.00,12,11
10598944,2,1.0000,6.0000,1.0000,1.0000,2.0000,30.44,2,6
