houseid,personid,tdtrpnum,trpcnt,trpcnt_AM,TOD,trpcnt_PM,strttime,strhr,strt,startmin,endtime,trvlcmin,trpmiles,trippurp,trptrans,travday,homeown,hhsize,hhvehcnt,hhfaminc,drvrcnt,numadlt,wrkcount,msacat,hh_race,r_age,Age,educ,r_sex,worker,driver
30030912,1,1,1.00,1.00,1.00,0.00,735,7,730,35,820,45,32.97,HBW,3,2,2,4,2,11,2,2,2,2,1,27,0,5,2,1,1
30030912,1,2,1.00,0.00,2.00,1.00,1836,18,1830,36,1908,32,32.83,HBW,3,2,2,4,2,11,2,2,2,2,1,27,0,5,2,1,1
30030912,2,1,1.00,1.00,1.00,0.00,800,8,830,00,810,10,1.51,HBO,4,2,2,4,2,11,2,2,2,2,1,27,0,5,1,1,1
30030912,2,2,1.00,1.00,1.00,0.00,815,8,830,15,900,45,31.59,NHB,4,2,2,4,2,11,2,2,2,2,1,27,0,5,1,1,1
30030912,2,3,1.00,0.00,2.00,1.00,1730,17,1730,30,1830,60,33.76,NHB,4,2,2,4,2,11,2,2,2,2,1,27,0,5,1,1,1
30030912,2,4,1.00,0.00,2.00,1.00,1835,18,1830,35,1845,10,4.21,HBO,4,2,2,4,2,11,2,2,2,2,1,27,0,5,1,1,1
30037625,2,1,1.00,0.00,0.00,0.00,530,5,530,30,645,75,62.71,HBW,3,5,1,3,2,5,2,2,2,2,1,31,0,4,1,1,1
30037625,2,2,1.00,0.00,2.00,1.00,1630,16,1630,30,1730,60,45.23,NHB,3,5,1,3,2,5,2,2,2,2,1,31,0,4,1,1,1
30037625,2,3,1.00,0.00,2.00,1.00,1830,18,1830,30,1910,40,20.28,HBSOCREC,3,5,1,3,2,5,2,2,2,2,1,31,0,4,1,1,1
30042328,1,1,1.00,0.00,0.00,0.00,1000,10,1030,00,1115,75,64.53,HBSOCREC,3,6,2,1,2,1,1,1,1,2,1,23,0,3,2,1,1
30042328,1,2,1.00,0.00,2.00,1.00,1717,17,1730,17,1820,63,63.37,HBSOCREC,3,6,2,1,2,1,1,1,1,2,1,23,0,3,2,1,1
30061374,1,1,1.00,0.00,0.00,0.00,550,5,530,50,650,60,16.72,HBW,3,3,1,2,2,6,2,2,2,2,97,60,1,2,1,1,1
30061374,1,2,1.00,0.00,0.00,0.00,1500,15,1530,00,1540,40,14.34,NHB,3,3,1,2,2,6,2,2,2,2,97,60,1,2,1,1,1
30061374,1,3,1.00,0.00,2.00,1.00,1645,16,1630,45,1710,25,6.09,NHB,3,3,1,2,2,6,2,2,2,2,97,60,1,2,1,1,1
30061374,1,4,1.00,0.00,0.00,0.00,1900,19,1930,00,1910,10,0.93,NHB,3,3,1,2,2,6,2,2,2,2,97,60,1,2,1,1,1
30061374,1,5,1.00,0.00,0.00,0.00,2005,20,2030,05,2015,10,0.86,HBSHOP,3,3,1,2,2,6,2,2,2,2,97,60,1,2,1,1,1
30061374,1,6,1.00,0.00,0.00,0.00,2025,20,2030,25,2040,15,5.01,HBSOCREC,3,3,1,2,2,6,2,2,2,2,97,60,1,2,1,1,1
30061374,1,7,1.00,0.00,0.00,0.00,2138,21,2130,38,2155,17,4.98,HBSOCREC,3,3,1,2,2,6,2,2,2,2,97,60,1,2,1,1,1
30061374,2,1,1.00,1.00,1.00,0.00,750,7,730,50,834,44,34.32,HBW,3,3,1,2,2,6,2,2,2,2,97,58,1,2,2,1,1
30061374,2,2,1.00,0.00,0.00,0.00,1345,13,1330,45,1350,5,0.16,NHB,1,3,1,2,2,6,2,2,2,2,97,58,1,2,2,1,1
30061374,2,3,1.00,0.00,0.00,0.00,1415,14,1430,15,1845,270,33.46,NHB,3,3,1,2,2,6,2,2,2,2,97,58,1,2,2,1,1
30061374,2,4,1.00,0.00,2.00,1.00,1850,18,1830,50,1900,10,0.93,NHB,3,3,1,2,2,6,2,2,2,2,97,58,1,2,2,1,1
30061374,2,5,1.00,0.00,0.00,0.00,2000,20,2030,00,2010,10,0.86,HBSHOP,3,3,1,2,2,6,2,2,2,2,97,58,1,2,2,1,1
30061374,2,6,1.00,0.00,0.00,0.00,2028,20,2030,28,2040,12,5.01,HBSOCREC,3,3,1,2,2,6,2,2,2,2,97,58,1,2,2,1,1
30061374,2,7,1.00,0.00,0.00,0.00,2138,21,2130,38,2155,17,4.98,HBSOCREC,3,3,1,2,2,6,2,2,2,2,97,58,1,2,2,1,1
30063156,1,1,1.00,1.00,1.00,0.00,850,8,830,50,945,55,18.58,HBO,5,4,1,2,3,8,2,2,0,2,1,69,1,3,1,2,1
30063156,1,2,1.00,0.00,0.00,0.00,1105,11,1130,05,1125,20,6.13,NHB,5,4,1,2,3,8,2,2,0,2,1,69,1,3,1,2,1
30063156,1,3,1.00,0.00,0.00,0.00,1230,12,1230,30,1246,16,4.46,NHB,5,4,1,2,3,8,2,2,0,2,1,69,1,3,1,2,1
30063156,1,4,1.00,0.00,0.00,0.00,1342,13,1330,42,1355,13,2.98,NHB,5,4,1,2,3,8,2,2,0,2,1,69,1,3,1,2,1
30063156,1,5,1.00,0.00,0.00,0.00,1412,14,1430,12,1428,16,7.63,HBSHOP,5,4,1,2,3,8,2,2,0,2,1,69,1,3,1,2,1
30063156,1,6,1.00,0.00,2.00,1.00,1700,17,1730,00,1715,15,0.56,HBSOCREC,1,4,1,2,3,8,2,2,0,2,1,69,1,3,1,2,1
30063156,2,1,1.00,1.00,1.00,0.00,730,7,730,30,740,10,0.44,HBSOCREC,1,4,1,2,3,8,2,2,0,2,1,67,1,2,2,2,1
30063156,2,2,1.00,1.00,1.00,0.00,850,8,830,50,945,55,18.58,HBO,5,4,1,2,3,8,2,2,0,2,1,67,1,2,2,2,1
30063156,2,3,1.00,0.00,0.00,0.00,1105,11,1130,05,1125,20,6.13,NHB,5,4,1,2,3,8,2,2,0,2,1,67,1,2,2,2,1
30063156,2,4,1.00,0.00,0.00,0.00,1230,12,1230,30,1246,16,4.46,NHB,5,4,1,2,3,8,2,2,0,2,1,67,1,2,2,2,1
30063156,2,5,1.00,0.00,0.00,0.00,1342,13,1330,42,1355,13,2.98,NHB,5,4,1,2,3,8,2,2,0,2,1,67,1,2,2,2,1
30063156,2,6,1.00,0.00,0.00,0.00,1412,14,1430,12,1428,16,7.63,HBSHOP,5,4,1,2,3,8,2,2,0,2,1,67,1,2,2,2,1
30063822,1,1,1.00,1.00,1.00,0.00,630,6,630,30,700,30,0.54,HBSOCREC,1,6,1,1,2,3,1,1,0,2,1,81,1,3,2,2,1
30063822,1,2,1.00,1.00,1.00,0.00,715,7,730,15,800,45,3.28,NHB,1,6,1,1,2,3,1,1,0,2,1,81,1,3,2,2,1
30063822,1,3,1.00,0.00,0.00,0.00,1500,15,1530,00,1530,30,3.21,NHB,3,6,1,1,2,3,1,1,0,2,1,81,1,3,2,2,1
30063822,1,4,1.00,0.00,2.00,1.00,1630,16,1630,30,1900,150,3.55,NHB,3,6,1,1,2,3,1,1,0,2,1,81,1,3,2,2,1
30063822,1,5,1.00,0.00,0.00,0.00,2200,22,2230,00,2230,30,3.90,HBSOCREC,3,6,1,1,2,3,1,1,0,2,1,81,1,3,2,2,1
30079270,1,1,1.00,1.00,1.00,0.00,730,7,730,30,735,5,2.71,HBSHOP,3,5,1,3,1,2,2,1,1,2,1,40,0,3,2,1,1
30079270,1,2,1.00,1.00,1.00,0.00,830,8,830,30,835,5,2.66,HBSHOP,3,5,1,3,1,2,2,1,1,2,1,40,0,3,2,1,1
30086441,1,1,1.00,1.00,1.00,0.00,815,8,830,15,900,45,9.80,HBO,2,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,2,1.00,0.00,0.00,0.00,930,9,930,30,1015,45,33.99,HBSHOP,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,3,1.00,0.00,0.00,0.00,1100,11,1130,00,1105,5,0.58,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,4,1.00,0.00,0.00,0.00,1115,11,1130,15,1120,5,0.64,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,5,1.00,0.00,0.00,0.00,1130,11,1130,30,1135,5,0.08,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,6,1.00,0.00,0.00,0.00,1150,11,1130,50,1200,10,1.54,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,7,1.00,0.00,0.00,0.00,1220,12,1230,20,1225,5,0.61,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,8,1.00,0.00,0.00,0.00,1245,12,1230,45,1330,45,34.40,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,9,1.00,0.00,0.00,0.00,1355,13,1330,55,1357,2,0.41,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,10,1.00,0.00,0.00,0.00,1402,14,1430,02,1407,5,1.74,HBSHOP,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,11,1.00,0.00,0.00,0.00,1915,19,1930,15,1925,10,1.73,HBO,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,1,12,1.00,0.00,0.00,0.00,1930,19,1930,30,1940,10,1.74,HBO,6,4,1,2,3,7,2,2,0,2,1,67,1,5,1,2,1
30086441,2,1,1.00,1.00,1.00,0.00,815,8,830,15,820,5,2.09,HBSHOP,3,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,2,1.00,0.00,0.00,0.00,900,9,930,00,905,5,2.06,HBSHOP,3,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,3,1.00,0.00,0.00,0.00,930,9,930,30,1015,45,33.99,HBSHOP,6,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,4,1.00,0.00,0.00,0.00,1100,11,1130,00,1105,5,0.58,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,5,1.00,0.00,0.00,0.00,1115,11,1130,15,1120,5,0.58,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,6,1.00,0.00,0.00,0.00,1130,11,1130,30,1135,5,0.15,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,7,1.00,0.00,0.00,0.00,1150,11,1130,50,1200,10,1.54,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,8,1.00,0.00,0.00,0.00,1220,12,1230,20,1225,5,0.61,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,9,1.00,0.00,0.00,0.00,1245,12,1230,45,1330,45,34.40,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,10,1.00,0.00,0.00,0.00,1355,13,1330,55,1357,2,0.41,NHB,6,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30086441,2,11,1.00,0.00,0.00,0.00,1402,14,1430,02,1407,5,1.74,HBSHOP,6,4,1,2,3,7,2,2,0,2,1,67,1,2,2,2,1
30095287,1,1,1.00,0.00,0.00,0.00,1000,10,1030,00,1030,30,5.05,HBO,3,5,2,2,2,2,2,2,2,2,1,21,0,4,2,1,1
30095287,1,2,1.00,0.00,0.00,0.00,1500,15,1530,00,1515,15,4.95,HBO,3,5,2,2,2,2,2,2,2,2,1,21,0,4,2,1,1
30095287,1,3,1.00,0.00,0.00,0.00,1555,15,1530,55,1600,5,0.89,HBW,3,5,2,2,2,2,2,2,2,2,1,21,0,4,2,1,1
30095287,1,4,1.00,0.00,0.00,0.00,2200,22,2230,00,2210,10,0.89,HBW,3,5,2,2,2,2,2,2,2,2,1,21,0,4,2,1,1
30095287,2,1,1.00,1.00,1.00,0.00,830,8,830,30,900,30,5.05,HBW,3,5,2,2,2,2,2,2,2,2,1,22,0,4,1,1,1
30095287,2,2,1.00,0.00,0.00,0.00,1445,14,1430,45,1515,30,4.95,HBW,3,5,2,2,2,2,2,2,2,2,1,22,0,4,1,1,1
30095287,2,3,1.00,0.00,2.00,1.00,1600,16,1630,00,1630,30,5.05,HBW,3,5,2,2,2,2,2,2,2,2,1,22,0,4,1,1,1
30095287,2,4,1.00,0.00,2.00,1.00,1700,17,1730,00,1730,30,4.95,HBW,3,5,2,2,2,2,2,2,2,2,1,22,0,4,1,1,1
30096711,1,1,1.00,1.00,1.00,0.00,645,6,630,45,707,22,0.75,HBO,1,5,1,2,1,7,2,2,2,2,1,27,0,5,1,1,1
30096711,1,2,1.00,1.00,1.00,0.00,751,7,730,51,759,8,2.06,HBW,3,5,1,2,1,7,2,2,2,2,1,27,0,5,1,1,1
30096711,1,3,1.00,0.00,2.00,1.00,1702,17,1730,02,1716,14,1.90,HBW,3,5,1,2,1,7,2,2,2,2,1,27,0,5,1,1,1
30096711,1,4,1.00,0.00,2.00,1.00,1722,17,1730,22,1736,14,0.50,HBO,1,5,1,2,1,7,2,2,2,2,1,27,0,5,1,1,1
30096711,1,5,1.00,0.00,2.00,1.00,1738,17,1730,38,1802,24,5.69,HBSHOP,3,5,1,2,1,7,2,2,2,2,1,27,0,5,1,1,1
30096711,1,6,1.00,0.00,2.00,1.00,1851,18,1830,51,1911,20,9.19,HBSHOP,3,5,1,2,1,7,2,2,2,2,1,27,0,5,1,1,1
30096711,1,7,1.00,0.00,0.00,0.00,1921,19,1930,21,2037,76,1.50,HBO,1,5,1,2,1,7,2,2,2,2,1,27,0,5,1,1,1
30096711,2,1,1.00,1.00,1.00,0.00,751,7,730,51,759,8,2.06,HBW,3,5,1,2,1,7,2,2,2,2,1,25,0,5,2,1,1
30096711,2,2,1.00,0.00,2.00,1.00,1702,17,1730,02,1716,14,2.06,HBW,3,5,1,2,1,7,2,2,2,2,1,25,0,5,2,1,1
30096711,2,3,1.00,0.00,2.00,1.00,1722,17,1730,22,1736,14,1.00,HBO,1,5,1,2,1,7,2,2,2,2,1,25,0,5,2,1,1
30096711,2,4,1.00,0.00,2.00,1.00,1738,17,1730,38,1802,24,5.69,HBSHOP,3,5,1,2,1,7,2,2,2,2,1,25,0,5,2,1,1
30096711,2,5,1.00,0.00,2.00,1.00,1851,18,1830,51,1911,20,9.19,HBSHOP,3,5,1,2,1,7,2,2,2,2,1,25,0,5,2,1,1
30099653,1,1,1.00,1.00,1.00,0.00,845,8,830,45,900,15,0.34,HBSOCREC,1,5,2,3,2,6,1,2,2,2,1,47,0,3,1,1,1
30099653,1,2,1.00,0.00,0.00,0.00,1030,10,1030,30,1045,15,0.34,HBSOCREC,1,5,2,3,2,6,1,2,2,2,1,47,0,3,1,1,1
30099653,1,3,1.00,0.00,2.00,1.00,1855,18,1830,55,1900,5,1.21,HBSHOP,3,5,2,3,2,6,1,2,2,2,1,47,0,3,1,1,1
30099653,1,4,1.00,0.00,0.00,0.00,1910,19,1930,10,1940,30,20.01,NHB,3,5,2,3,2,6,1,2,2,2,1,47,0,3,1,1,1
30099653,1,5,1.00,0.00,0.00,0.00,2100,21,2130,00,2110,10,0.89,NHB,3,5,2,3,2,6,1,2,2,2,1,47,0,3,1,1,1
30099653,1,6,1.00,0.00,0.00,0.00,2200,22,2230,00,2230,30,21.62,HBSHOP,3,5,2,3,2,6,1,2,2,2,1,47,0,3,1,1,1
30099653,2,1,1.00,0.00,2.00,1.00,1855,18,1830,55,1900,5,1.21,HBSHOP,3,5,2,3,2,6,1,2,2,2,1,37,0,3,2,1,2
30099653,2,2,1.00,0.00,0.00,0.00,1910,19,1930,10,1940,30,20.01,NHB,3,5,2,3,2,6,1,2,2,2,1,37,0,3,2,1,2
30099653,2,3,1.00,0.00,0.00,0.00,2100,21,2130,00,2110,10,0.89,NHB,3,5,2,3,2,6,1,2,2,2,1,37,0,3,2,1,2
30099653,2,4,1.00,0.00,0.00,0.00,2200,22,2230,00,2230,30,21.62,HBSHOP,3,5,2,3,2,6,1,2,2,2,1,37,0,3,2,1,2
30109160,1,1,1.00,0.00,0.00,0.00,930,9,930,30,947,17,2.54,HBSHOP,3,6,1,2,2,3,2,2,0,2,1,62,1,2,1,2,1
30109160,1,2,1.00,0.00,0.00,0.00,1003,10,1030,03,1026,23,5.11,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,1,2,1
30109160,1,3,1.00,0.00,0.00,0.00,1043,10,1030,43,1112,29,10.36,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,1,2,1
30109160,1,4,1.00,0.00,0.00,0.00,1227,12,1230,27,1242,15,2.65,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,1,2,1
30109160,1,5,1.00,0.00,0.00,0.00,1335,13,1330,35,1358,23,9.43,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,1,2,1
30109160,1,6,1.00,0.00,0.00,0.00,1517,15,1530,17,1531,14,7.07,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,1,2,1
30109160,1,7,1.00,0.00,2.00,1.00,1606,16,1630,06,1617,11,4.40,HBSHOP,3,6,1,2,2,3,2,2,0,2,1,62,1,2,1,2,1
30109160,2,1,1.00,1.00,1.00,0.00,752,7,730,52,828,36,0.44,HBO,1,6,1,2,2,3,2,2,0,2,1,62,1,2,2,2,1
30109160,2,2,1.00,0.00,0.00,0.00,930,9,930,30,947,17,2.54,HBSHOP,3,6,1,2,2,3,2,2,0,2,1,62,1,2,2,2,1
30109160,2,3,1.00,0.00,0.00,0.00,1003,10,1030,03,1026,23,5.11,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,2,2,1
30109160,2,4,1.00,0.00,0.00,0.00,1043,10,1030,43,1112,29,10.37,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,2,2,1
30109160,2,5,1.00,0.00,0.00,0.00,1227,12,1230,27,1242,15,2.75,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,2,2,1
30109160,2,6,1.00,0.00,0.00,0.00,1335,13,1330,35,1358,23,9.43,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,2,2,1
30109160,2,7,1.00,0.00,0.00,0.00,1518,15,1530,18,1531,13,7.01,NHB,3,6,1,2,2,3,2,2,0,2,1,62,1,2,2,2,1
30109160,2,8,1.00,0.00,2.00,1.00,1606,16,1630,06,1617,11,4.45,HBSHOP,3,6,1,2,2,3,2,2,0,2,1,62,1,2,2,2,1
30109160,2,9,1.00,0.00,2.00,1.00,1747,17,1730,47,1825,38,0.44,HBO,1,6,1,2,2,3,2,2,0,2,1,62,1,2,2,2,1
30118172,1,1,1.00,1.00,1.00,0.00,658,6,630,58,728,30,11.86,HBW,3,4,1,3,2,8,2,2,2,2,1,28,0,4,2,1,1
30118172,1,2,1.00,0.00,0.00,0.00,1145,11,1130,45,1158,13,1.33,NHB,3,4,1,3,2,8,2,2,2,2,1,28,0,4,2,1,1
30118172,1,3,1.00,0.00,0.00,0.00,1241,12,1230,41,1252,11,1.38,NHB,3,4,1,3,2,8,2,2,2,2,1,28,0,4,2,1,1
30118172,1,4,1.00,0.00,2.00,1.00,1633,16,1630,33,1723,50,11.51,HBW,3,4,1,3,2,8,2,2,2,2,1,28,0,4,2,1,1
30118172,2,1,1.00,0.00,0.00,0.00,541,5,530,41,554,13,6.14,HBW,3,4,1,3,2,8,2,2,2,2,1,26,0,3,1,1,1
30118172,2,2,1.00,0.00,2.00,1.00,1734,17,1730,34,1758,24,5.76,HBW,3,4,1,3,2,8,2,2,2,2,1,26,0,3,1,1,1
30134101,1,1,1.00,0.00,0.00,0.00,1400,14,1430,00,1415,15,3.60,NHB,4,2,1,1,1,3,1,1,1,2,1,65,1,3,2,1,1
30134101,1,2,1.00,0.00,0.00,0.00,1445,14,1430,45,1455,10,3.62,HBSHOP,4,2,1,1,1,3,1,1,1,2,1,65,1,3,2,1,1
30134101,1,3,1.00,0.00,2.00,1.00,1800,18,1830,00,1810,10,3.76,HBSHOP,3,2,1,1,1,3,1,1,1,2,1,65,1,3,2,1,1
30134101,1,4,1.00,0.00,0.00,0.00,1900,19,1930,00,1915,15,3.78,NHB,3,2,1,1,1,3,1,1,1,2,1,65,1,3,2,1,1
30134101,1,5,1.00,0.00,0.00,0.00,1950,19,1930,50,2000,10,0.99,HBSOCREC,3,2,1,1,1,3,1,1,1,2,1,65,1,3,2,1,1
30140666,2,1,1.00,1.00,1.00,0.00,615,6,630,15,622,7,2.93,HBSOCREC,4,2,1,3,2,6,2,2,2,2,1,37,0,3,1,1,1
30140666,2,2,1.00,1.00,1.00,0.00,731,7,730,31,740,9,2.11,HBSOCREC,4,2,1,3,2,6,2,2,2,2,1,37,0,3,1,1,1
30140666,2,3,1.00,1.00,1.00,0.00,759,7,730,59,908,69,15.71,HBW,4,2,1,3,2,6,2,2,2,2,1,37,0,3,1,1,1
30140666,2,4,1.00,0.00,2.00,1.00,1727,17,1730,27,1837,70,15.40,HBW,4,2,1,3,2,6,2,2,2,2,1,37,0,3,1,1,1
30171886,1,1,1.00,0.00,0.00,0.00,915,9,930,15,935,20,10.43,HBW,3,4,1,2,3,6,2,2,1,2,1,73,1,3,2,1,1
30171886,1,2,1.00,0.00,0.00,0.00,1100,11,1130,00,1125,25,10.30,NHB,3,4,1,2,3,6,2,2,1,2,1,73,1,3,2,1,1
30171886,1,3,1.00,0.00,0.00,0.00,1220,12,1230,20,1230,10,1.84,HBW,3,4,1,2,3,6,2,2,1,2,1,73,1,3,2,1,1
30171886,1,4,1.00,0.00,2.00,1.00,1700,17,1730,00,1705,5,0.46,HBW,3,4,1,2,3,6,2,2,1,2,1,73,1,3,2,1,1
30171886,1,5,1.00,0.00,2.00,1.00,1820,18,1830,20,1825,5,0.46,HBW,3,4,1,2,3,6,2,2,1,2,1,73,1,3,2,1,1
30171886,1,6,1.00,0.00,0.00,0.00,1905,19,1930,05,1910,5,0.25,HBSOCREC,3,4,1,2,3,6,2,2,1,2,1,73,1,3,2,1,1
30171886,1,7,1.00,0.00,0.00,0.00,2230,22,2230,30,2240,10,0.25,HBSOCREC,3,4,1,2,3,6,2,2,1,2,1,73,1,3,2,1,1
30171886,2,1,1.00,0.00,0.00,0.00,1100,11,1130,00,1110,10,0.99,NHB,3,4,1,2,3,6,2,2,1,2,1,79,1,4,1,2,1
