person_id,driver,worker,educ,hhincttl,numadlt,drvrcnt,r_age,r_sex,hhsize,homeown,pertrips
100070441.00,1,2,2,9,2.0000,2.0000,63.0000,2,2.0000,1,6
100070442.00,1,2,2,9,2.0000,2.0000,83.0000,1,2.0000,1,6
100111081.00,1,1,2,12,2.0000,2.0000,41.0000,1,2.0000,2,6
100111082.00,1,1,4,12,2.0000,2.0000,40.0000,2,2.0000,2,4
100260901.00,1,1,7,7,1.0000,1.0000,40.0000,2,1.0000,1,7
100524731.00,1,1,6,18,1.0000,1.0000,47.0000,1,1.0000,1,3
100748771.00,1,2,4,6,2.0000,1.0000,88.0000,1,2.0000,1,4
101020601.00,1,1,8,8,1.0000,1.0000,30.0000,1,1.0000,2,2
101156591.00,1,2,2,16,2.0000,2.0000,77.0000,2,2.0000,1,5
101307191.00,1,2,4,14,2.0000,2.0000,59.0000,2,2.0000,1,10
101444621.00,1,1,3,10,1.0000,1.0000,60.0000,1,1.0000,1,7
101594111.00,1,1,2,18,2.0000,2.0000,29.0000,2,3.0000,1,6
101594112.00,1,1,6,18,2.0000,2.0000,40.0000,1,3.0000,1,4
101594113.00,-1,-1,-1,18,2.0000,2.0000,9.0000,1,3.0000,1,3
101737521.00,1,2,4,11,2.0000,2.0000,26.0000,2,3.0000,1,5
101737522.00,1,1,2,11,2.0000,2.0000,32.0000,1,3.0000,1,12
101737523.00,-1,-1,-1,11,2.0000,2.0000,0.0000,1,3.0000,1,5
101815421.00,1,1,4,18,2.0000,2.0000,35.0000,2,4.0000,1,7
102005641.00,1,2,8,17,1.0000,1.0000,53.0000,2,1.0000,1,2
102629732.00,1,1,2,4,2.0000,2.0000,26.0000,1,5.0000,2,9
102629733.00,-1,-1,-1,4,2.0000,2.0000,8.0000,1,5.0000,2,3
102677631.00,1,1,4,7,1.0000,1.0000,40.0000,2,2.0000,1,2
103394641.00,1,1,-7,-7,2.0000,2.0000,38.0000,1,5.0000,2,1
103508981.00,1,1,6,15,2.0000,3.0000,43.0000,2,5.0000,1,7
103508982.00,1,1,4,15,2.0000,3.0000,44.0000,1,5.0000,1,7
103508984.00,-1,-1,-1,15,2.0000,3.0000,13.0000,1,5.0000,1,2
103508985.00,-1,-1,-1,15,2.0000,3.0000,11.0000,2,5.0000,1,5
103645782.00,1,1,8,18,3.0000,3.0000,59.0000,1,3.0000,1,3
103645783.00,1,1,6,18,3.0000,3.0000,56.0000,2,3.0000,1,4
103670291.00,1,1,6,10,2.0000,2.0000,24.0000,2,2.0000,1,16
103670292.00,1,1,2,10,2.0000,2.0000,19.0000,1,2.0000,1,4
103678321.00,1,1,7,13,2.0000,2.0000,50.0000,2,2.0000,1,10
104842251.00,1,2,2,7,3.0000,3.0000,27.0000,2,5.0000,1,4
104842252.00,1,1,2,7,3.0000,3.0000,50.0000,1,5.0000,1,2
104842253.00,1,1,2,7,3.0000,3.0000,52.0000,2,5.0000,1,2
104842254.00,-1,-1,-1,7,3.0000,3.0000,10.0000,1,5.0000,1,4
104842255.00,-1,-1,-1,7,3.0000,3.0000,6.0000,2,5.0000,1,4
104866212.00,-1,-1,-1,7,2.0000,2.0000,14.0000,1,4.0000,2,4
104866213.00,-1,-1,-1,7,2.0000,2.0000,13.0000,1,4.0000,2,4
104977571.00,1,1,6,17,2.0000,2.0000,60.0000,1,3.0000,1,2
104977572.00,1,1,6,17,2.0000,2.0000,26.0000,2,3.0000,1,2
105049451.00,1,1,8,12,3.0000,3.0000,24.0000,2,3.0000,1,7
105049452.00,1,1,5,12,3.0000,3.0000,55.0000,2,3.0000,1,7
